"","X","method","bias","mse","ATE","ci_cov","power","u","a","n","b","rho","psi","ax"
"1",1.1,"Ideal",0.0807551192733439,0.006521389288852,1.00080755119273,100,100,0.1,1,5000,0,0.2,0.5,0.25
"2",1.2,"IV",0.0805360900138739,0.00648606179472279,1.00080536090014,92,100,0.1,1,5000,0,0.2,0.5,0.25
"3",1.3,"MIME",-0.631311921008723,0.398554741607725,0.993686880789913,87.6,100,0.1,1,5000,0,0.2,0.5,0.25
"4",1.4,"Naive",0.355125434510316,0.126114074236141,1.0035512543451,100,100,0.1,1,5000,0,0.2,0.5,0.25
"5",1.5,"PSC",-0.173807954643136,0.0302092050972303,0.998261920453569,92.8,100,0.1,1,5000,0,0.2,0.5,0.25
"6",2.1,"Ideal",-0.269431702945313,0.0725934425520116,0.997305682970547,100,100,0.5,1,5000,0,0.2,0.5,0.25
"7",2.2,"IV",-0.291221817876084,0.0848101472070509,0.997087781821239,97.6,100,0.5,1,5000,0,0.2,0.5,0.25
"8",2.3,"MIME",-0.446769768437106,0.199603225989345,0.995532302315629,98.8,100,0.5,1,5000,0,0.2,0.5,0.25
"9",2.4,"Naive",4.73260903230748,22.3975882526784,1.04732609032307,95.6,100,0.5,1,5000,0,0.2,0.5,0.25
"10",2.5,"PSC",-2.82311295259168,7.96996674309091,0.971768870474083,94.8,100,0.5,1,5000,0,0.2,0.5,0.25
"11",3.1,"Ideal",0.036251250751097,0.00131415318101891,1.00036251250751,100,100,0.9,1,5000,0,0.2,0.5,0.25
"12",3.2,"IV",-0.0211146390235111,0.000445827981093179,0.999788853609765,95.6,100,0.9,1,5000,0,0.2,0.5,0.25
"13",3.3,"MIME",0.210386540425377,0.0442624963921587,1.00210386540425,94,100,0.9,1,5000,0,0.2,0.5,0.25
"14",3.4,"Naive",10.8393582100325,117.491686405398,1.10839358210032,42,100,0.9,1,5000,0,0.2,0.5,0.25
"15",3.5,"PSC",-3.64001582578336,13.2497152119533,0.963599841742166,95.2,99.6,0.9,1,5000,0,0.2,0.5,0.25
"16",4.1,"Ideal",0.0298134012319673,0.000888838893018272,1.00029813401232,100,100,0.1,1,5000,0,0.8,0.5,0.25
"17",4.2,"IV",-0.0388464605038608,0.00150904749367802,0.999611535394961,95.2,100,0.1,1,5000,0,0.8,0.5,0.25
"18",4.3,"MIME",0.0389109995143851,0.00151406588320848,1.00038910999514,99.2,100,0.1,1,5000,0,0.8,0.5,0.25
"19",4.4,"Naive",0.276221908901577,0.0762985429572309,1.00276221908902,100,100,0.1,1,5000,0,0.8,0.5,0.25
"20",4.5,"PSC",-0.315328853514424,0.0994322858587208,0.996846711464856,93.6,100,0.1,1,5000,0,0.8,0.5,0.25
"21",5.1,"Ideal",0.0399775853906387,0.00159820733366581,1.00039977585391,99.6,100,0.5,1,5000,0,0.8,0.5,0.25
"22",5.2,"IV",-0.089624769090476,0.00803259923452115,0.999103752309095,92.4,100,0.5,1,5000,0,0.8,0.5,0.25
"23",5.3,"MIME",-0.0147399164040813,0.000217265135599305,0.999852600835959,99.2,100,0.5,1,5000,0,0.8,0.5,0.25
"24",5.4,"Naive",3.74738937577045,14.0429271336373,1.0374738937577,98.4,100,0.5,1,5000,0,0.8,0.5,0.25
"25",5.5,"PSC",-3.57635353349881,12.7903045965694,0.964236464665012,92.8,99.6,0.5,1,5000,0,0.8,0.5,0.25
"26",6.1,"Ideal",0.0333029517925508,0.00110908659809696,1.00033302951793,100,100,0.9,1,5000,0,0.8,0.5,0.25
"27",6.2,"IV",-0.0184398148809412,0.000340026772843381,0.999815601851191,94.4,100,0.9,1,5000,0,0.8,0.5,0.25
"28",6.3,"MIME",0.462954489211473,0.214326859081056,1.00462954489211,99.6,100,0.9,1,5000,0,0.8,0.5,0.25
"29",6.4,"Naive",6.1816601999759,38.2129228279661,1.06181660199976,95.6,100,0.9,1,5000,0,0.8,0.5,0.25
"30",6.5,"PSC",-3.76298402698716,14.1600487873605,0.962370159730128,96.4,98,0.9,1,5000,0,0.8,0.5,0.25
"31",1.3,"SIMEX",-0.314008655137572,0.0986014355013064,0.996859913448624,0,2,0.1,1,5000,0,0.2,0.5,0.25
"32",2.3,"SIMEX",0.79842368192728,0.637480375862315,1.00798423681927,0,0,0.5,1,5000,0,0.2,0.5,0.25
"33",3.3,"SIMEX",4.69040182390453,21.9998692696869,1.04690401823905,6,0,0.9,1,5000,0,0.2,0.5,0.25
"34",4.3,"SIMEX",0.984087290999428,0.968427796306592,1.00984087290999,0,2,0.1,1,5000,0,0.8,0.5,0.25
"35",5.3,"SIMEX",0.827731969298852,0.685140212999356,1.00827731969299,2,0,0.5,1,5000,0,0.8,0.5,0.25
"36",6.3,"SIMEX",3.93016985983266,15.4462351271371,1.03930169859833,0,0,0.9,1,5000,0,0.8,0.5,0.25
"37",1.3,"SIMEX dir.",-2.14756332921995,4.61202825301027,0.978524366707801,100,100,0.1,1,5000,0,0.2,0.5,0.25
"38",2.3,"SIMEX dir.",-1.62330437857911,2.63511710551412,0.983766956214209,100,100,0.5,1,5000,0,0.2,0.5,0.25
"39",3.3,"SIMEX dir.",5.41092895287285,29.2781521330377,1.05410928952873,90,100,0.9,1,5000,0,0.2,0.5,0.25
"40",4.3,"SIMEX dir.",-2.17417082813203,4.7270187899003,0.97825829171868,100,100,0.1,1,5000,0,0.8,0.5,0.25
"41",5.3,"SIMEX dir.",0.447786682466555,0.200512912994403,1.00447786682467,100,100,0.5,1,5000,0,0.8,0.5,0.25
"42",6.3,"SIMEX dir.",4.73712130558426,22.4403182638203,1.04737121305584,97,100,0.9,1,5000,0,0.8,0.5,0.25
